lr-Adam,step,train_loss,epoch
0.0001,3349,,
,3349,5.73024845123291,1
0.0001,3399,,
,3399,5.3459649085998535,1
0.0001,3449,,
,3449,5.41700553894043,1
0.0001,3499,,
,3499,5.411208152770996,1
0.0001,3549,,
,3549,5.353733539581299,1
0.0001,3599,,
,3599,5.525600433349609,1
0.0001,3649,,
,3649,5.664191246032715,2
0.0001,3699,,
,3699,5.6120500564575195,2
0.0001,3749,,
,3749,5.248663902282715,2
0.0001,3799,,
,3799,5.348325729370117,2
0.0001,3849,,
,3849,5.417972087860107,2
0.0001,3899,,
,3899,5.567248344421387,2
0.0001,3949,,
,3949,5.244504451751709,2
0.0001,3999,,
,3999,5.674205780029297,2
0.0001,4049,,
,4049,5.601094722747803,2
0.0001,4099,,
,4099,5.434053421020508,2
0.0001,4149,,
,4149,5.476623058319092,2
0.0001,4199,,
,4199,5.337491035461426,2
0.0001,4249,,
,4249,5.428624153137207,2
0.0001,4299,,
,4299,5.213160991668701,2
0.0001,4349,,
,4349,5.36440372467041,2
0.0001,4399,,
,4399,4.870882034301758,2
0.0001,4449,,
,4449,5.17012357711792,2
0.0001,4499,,
,4499,4.883554458618164,2
0.0001,4549,,
,4549,5.115880966186523,2
0.0001,4599,,
,4599,5.206978797912598,2
0.0001,4649,,
,4649,5.446966171264648,2
0.0001,4699,,
,4699,5.361292839050293,2
0.0001,4749,,
,4749,5.098126411437988,2
0.0001,4799,,
,4799,5.026966094970703,2
0.0001,4849,,
,4849,5.464671611785889,2
0.0001,4899,,
,4899,5.202020168304443,2
0.0001,4949,,
,4949,5.165149211883545,2
0.0001,4999,,
,4999,4.90904426574707,2
0.0001,5049,,
,5049,5.013304710388184,2
0.0001,5099,,
,5099,5.267091274261475,2
0.0001,5149,,
,5149,4.816031455993652,2
0.0001,5199,,
,5199,5.203595161437988,2
0.0001,5249,,
,5249,4.686228275299072,2
0.0001,5299,,
,5299,5.145609378814697,2
0.0001,5349,,
,5349,5.62735652923584,2
0.0001,5399,,
,5399,4.869032382965088,2
0.0001,5449,,
,5449,5.163790702819824,2
0.0001,5499,,
,5499,5.1137614250183105,3
0.0001,5549,,
,5549,4.956580638885498,3
0.0001,5599,,
,5599,4.968972682952881,3
0.0001,5649,,
,5649,4.765080451965332,3
0.0001,5699,,
,5699,4.949124813079834,3
0.0001,5749,,
,5749,5.154127597808838,3
0.0001,5799,,
,5799,4.967866897583008,3
0.0001,5849,,
,5849,4.723895072937012,3
0.0001,5899,,
,5899,4.924380302429199,3
0.0001,5949,,
,5949,4.643369197845459,3
0.0001,5999,,
,5999,4.886927127838135,3
0.0001,6049,,
,6049,4.7120361328125,3
0.0001,6099,,
,6099,4.98954439163208,3
0.0001,6149,,
,6149,5.042832851409912,3
0.0001,6199,,
,6199,5.149844646453857,3
0.0001,6249,,
,6249,5.169989109039307,3
0.0001,6299,,
,6299,5.021010398864746,3
0.0001,6349,,
,6349,4.909676551818848,3
0.0001,6399,,
,6399,5.23571252822876,3
0.0001,6449,,
,6449,4.919431686401367,3
0.0001,6499,,
,6499,4.72968864440918,3
0.0001,6549,,
,6549,5.052884101867676,3
0.0001,6599,,
,6599,4.583756923675537,3
0.0001,6649,,
,6649,4.7152814865112305,3
0.0001,6699,,
,6699,4.610620498657227,3
0.0001,6749,,
,6749,4.8228230476379395,3
0.0001,6799,,
,6799,5.242185592651367,3
0.0001,6849,,
,6849,4.873443126678467,3
0.0001,6899,,
,6899,4.932652473449707,3
0.0001,6949,,
,6949,5.121324062347412,3
0.0001,6999,,
,6999,5.285179138183594,3
0.0001,7049,,
,7049,4.982857704162598,3
0.0001,7099,,
,7099,4.790619850158691,3
0.0001,7149,,
,7149,4.670041561126709,3
0.0001,7199,,
,7199,4.863706111907959,3
0.0001,7249,,
,7249,5.150188446044922,3
0.0001,7299,,
,7299,4.532648086547852,4
0.0001,7349,,
,7349,4.674639701843262,4
0.0001,7399,,
,7399,4.957529544830322,4
0.0001,7449,,
,7449,4.7379069328308105,4
0.0001,7499,,
,7499,4.2996978759765625,4
0.0001,7549,,
,7549,4.691840171813965,4
0.0001,7599,,
,7599,4.770671367645264,4
0.0001,7649,,
,7649,4.507905960083008,4
0.0001,7699,,
,7699,4.927737236022949,4
0.0001,7749,,
,7749,4.8643035888671875,4
0.0001,7799,,
,7799,5.040221214294434,4
0.0001,7849,,
,7849,4.426638126373291,4
0.0001,7899,,
,7899,4.878544807434082,4
0.0001,7949,,
,7949,4.437118053436279,4
0.0001,7999,,
,7999,5.115939140319824,4
0.0001,8049,,
,8049,4.885337829589844,4
0.0001,8099,,
,8099,4.758479595184326,4
0.0001,8149,,
,8149,4.939830303192139,4
0.0001,8199,,
,8199,4.626105308532715,4
0.0001,8249,,
,8249,4.864127159118652,4
0.0001,8299,,
,8299,5.120639324188232,4
0.0001,8349,,
,8349,4.69560432434082,4
0.0001,8399,,
,8399,4.614221096038818,4
0.0001,8449,,
,8449,4.841787338256836,4
0.0001,8499,,
,8499,4.8097100257873535,4
0.0001,8549,,
,8549,4.786561489105225,4
0.0001,8599,,
,8599,4.948741912841797,4
0.0001,8649,,
,8649,4.701159954071045,4
0.0001,8699,,
,8699,4.538763999938965,4
0.0001,8749,,
,8749,4.59522008895874,4
0.0001,8799,,
,8799,4.464065074920654,4
0.0001,8849,,
,8849,4.7836174964904785,4
0.0001,8899,,
,8899,4.831063270568848,4
0.0001,8949,,
,8949,4.729814052581787,4
0.0001,8999,,
,8999,5.033308982849121,4
0.0001,9049,,
,9049,4.317213535308838,4
0.0001,9099,,
,9099,4.472411632537842,5
0.0001,9149,,
,9149,4.417298793792725,5
0.0001,9199,,
,9199,4.231626987457275,5
0.0001,9249,,
,9249,4.614044666290283,5
0.0001,9299,,
,9299,4.398075580596924,5
0.0001,9349,,
,9349,4.232625484466553,5
0.0001,9399,,
,9399,4.542118549346924,5
0.0001,9449,,
,9449,4.287696361541748,5
0.0001,9499,,
,9499,4.565539360046387,5
0.0001,9549,,
,9549,4.476533889770508,5
0.0001,9599,,
,9599,4.214766502380371,5
0.0001,9649,,
,9649,4.659874439239502,5
0.0001,9699,,
,9699,4.368161678314209,5
0.0001,9749,,
,9749,4.683663368225098,5
0.0001,9799,,
,9799,4.364307403564453,5
0.0001,9849,,
,9849,4.639806747436523,5
0.0001,9899,,
,9899,4.665351867675781,5
0.0001,9949,,
,9949,4.537316799163818,5
0.0001,9999,,
,9999,4.468648910522461,5
0.0001,10049,,
,10049,4.551867961883545,5
0.0001,10099,,
,10099,4.918279647827148,5
0.0001,10149,,
,10149,4.3015456199646,5
0.0001,10199,,
,10199,4.6329026222229,5
0.0001,10249,,
,10249,4.483708381652832,5
0.0001,10299,,
,10299,4.3535966873168945,5
0.0001,10349,,
,10349,4.496637344360352,5
0.0001,10399,,
,10399,4.762880802154541,5
0.0001,10449,,
,10449,4.618422985076904,5
0.0001,10499,,
,10499,4.342485427856445,5
0.0001,10549,,
,10549,4.556225776672363,5
0.0001,10599,,
,10599,4.626282691955566,5
0.0001,10649,,
,10649,4.5682549476623535,5
0.0001,10699,,
,10699,4.5530548095703125,5
0.0001,10749,,
,10749,4.739145755767822,5
0.0001,10799,,
,10799,4.651463031768799,5
0.0001,10849,,
,10849,4.321722030639648,5
0.0001,10899,,
,10899,4.544527053833008,5
0.0001,10949,,
,10949,4.266007900238037,6
0.0001,10999,,
,10999,4.228083610534668,6
0.0001,11049,,
,11049,4.150588512420654,6
0.0001,11099,,
,11099,4.626099586486816,6
0.0001,11149,,
,11149,4.356574535369873,6
0.0001,11199,,
,11199,4.244443416595459,6
0.0001,11249,,
,11249,3.8292689323425293,6
0.0001,11299,,
,11299,4.468762397766113,6
0.0001,11349,,
,11349,4.4324798583984375,6
0.0001,11399,,
,11399,4.288299560546875,6
0.0001,11449,,
,11449,4.0179443359375,6
0.0001,11499,,
,11499,3.990358829498291,6
0.0001,11549,,
,11549,4.222223281860352,6
0.0001,11599,,
,11599,4.2360334396362305,6
0.0001,11649,,
,11649,4.405910491943359,6
0.0001,11699,,
,11699,4.243740081787109,6
0.0001,11749,,
,11749,4.180832862854004,6
0.0001,11799,,
,11799,4.039101600646973,6
0.0001,11849,,
,11849,4.55325984954834,6
0.0001,11899,,
,11899,4.299808025360107,6
0.0001,11949,,
,11949,4.057360649108887,6
0.0001,11999,,
,11999,4.386931419372559,6
0.0001,12049,,
,12049,3.9803576469421387,6
0.0001,12099,,
,12099,4.231017112731934,6
0.0001,12149,,
,12149,4.459262371063232,6
0.0001,12199,,
,12199,4.191043853759766,6
0.0001,12249,,
,12249,4.4421586990356445,6
0.0001,12299,,
,12299,4.142453193664551,6
0.0001,12349,,
,12349,3.9532198905944824,6
0.0001,12399,,
,12399,4.571352481842041,6
0.0001,12449,,
,12449,4.155871391296387,6
0.0001,12499,,
,12499,4.035372734069824,6
0.0001,12549,,
,12549,4.20808219909668,6
0.0001,12599,,
,12599,4.393917083740234,6
0.0001,12649,,
,12649,4.173022270202637,6
0.0001,12699,,
,12699,4.48317813873291,6
0.0001,12749,,
,12749,3.7833046913146973,7
0.0001,12799,,
,12799,3.9726877212524414,7
0.0001,12849,,
,12849,4.092747211456299,7
0.0001,12899,,
,12899,3.795884609222412,7
0.0001,12949,,
,12949,4.061180114746094,7
0.0001,12999,,
,12999,3.761075019836426,7
0.0001,13049,,
,13049,4.132635593414307,7
0.0001,13099,,
,13099,4.146796226501465,7
0.0001,13149,,
,13149,4.118547439575195,7
0.0001,13199,,
,13199,3.7705554962158203,7
0.0001,13249,,
,13249,4.125659942626953,7
0.0001,13299,,
,13299,4.1064348220825195,7
0.0001,13349,,
,13349,4.244659423828125,7
0.0001,13399,,
,13399,3.9235401153564453,7
0.0001,13449,,
,13449,3.57088303565979,7
0.0001,13499,,
,13499,3.8899154663085938,7
0.0001,13549,,
,13549,3.9497146606445312,7
0.0001,13599,,
,13599,4.273619651794434,7
0.0001,13649,,
,13649,4.272727012634277,7
0.0001,13699,,
,13699,4.321069717407227,7
0.0001,13749,,
,13749,4.128432273864746,7
0.0001,13799,,
,13799,4.084750652313232,7
0.0001,13849,,
,13849,3.958855628967285,7
0.0001,13899,,
,13899,4.045254707336426,7
0.0001,13949,,
,13949,4.128437042236328,7
0.0001,13999,,
,13999,4.062995910644531,7
0.0001,14049,,
,14049,4.246578216552734,7
0.0001,14099,,
,14099,3.745741367340088,7
0.0001,14149,,
,14149,3.8133373260498047,7
0.0001,14199,,
,14199,4.348956108093262,7
0.0001,14249,,
,14249,4.0247483253479,7
0.0001,14299,,
,14299,4.095770359039307,7
0.0001,14349,,
,14349,3.9999582767486572,7
0.0001,14399,,
,14399,3.6281843185424805,7
0.0001,14449,,
,14449,4.477179527282715,7
0.0001,14499,,
,14499,4.144203186035156,7
0.0001,14549,,
,14549,3.838254451751709,7
0.0001,14599,,
,14599,3.467062473297119,8
0.0001,14649,,
,14649,3.702974557876587,8
0.0001,14699,,
,14699,3.613224983215332,8
0.0001,14749,,
,14749,4.126893997192383,8
0.0001,14799,,
,14799,3.963435173034668,8
0.0001,14849,,
,14849,3.7105607986450195,8
0.0001,14899,,
,14899,3.667248010635376,8
0.0001,14949,,
,14949,4.07257080078125,8
0.0001,14999,,
,14999,4.238780975341797,8
0.0001,15049,,
,15049,4.037746906280518,8
0.0001,15099,,
,15099,3.93649959564209,8
0.0001,15149,,
,15149,4.011411666870117,8
0.0001,15199,,
,15199,3.9244019985198975,8
0.0001,15249,,
,15249,3.8125853538513184,8
0.0001,15299,,
,15299,3.6054248809814453,8
0.0001,15349,,
,15349,3.4991469383239746,8
0.0001,15399,,
,15399,3.7201786041259766,8
0.0001,15449,,
,15449,3.574265718460083,8
0.0001,15499,,
,15499,3.328346014022827,8
0.0001,15549,,
,15549,3.544212818145752,8
0.0001,15599,,
,15599,3.807875156402588,8
0.0001,15649,,
,15649,4.1739959716796875,8
0.0001,15699,,
,15699,3.8418450355529785,8
0.0001,15749,,
,15749,3.642396926879883,8
0.0001,15799,,
,15799,3.997756242752075,8
0.0001,15849,,
,15849,3.8843679428100586,8
0.0001,15899,,
,15899,3.9638149738311768,8
0.0001,15949,,
,15949,3.4413230419158936,8
0.0001,15999,,
,15999,3.7816085815429688,8
0.0001,16049,,
,16049,3.999131441116333,8
0.0001,16099,,
,16099,3.8272545337677,8
0.0001,16149,,
,16149,4.168208122253418,8
0.0001,16199,,
,16199,3.877363681793213,8
0.0001,16249,,
,16249,4.111001968383789,8
0.0001,16299,,
,16299,3.7496542930603027,8
0.0001,16349,,
,16349,3.6545286178588867,8
0.0001,16399,,
,16399,3.4388937950134277,9
0.0001,16449,,
,16449,3.475651979446411,9
0.0001,16499,,
,16499,3.5794835090637207,9
0.0001,16549,,
,16549,3.588768482208252,9
0.0001,16599,,
,16599,3.363070249557495,9
0.0001,16649,,
,16649,3.539353847503662,9
0.0001,16699,,
,16699,3.536804676055908,9
0.0001,16749,,
,16749,3.4074110984802246,9
0.0001,16799,,
,16799,3.6935853958129883,9
0.0001,16849,,
,16849,3.5873799324035645,9
0.0001,16899,,
,16899,3.2145934104919434,9
0.0001,16949,,
,16949,3.331118583679199,9
0.0001,16999,,
,16999,3.647606372833252,9
0.0001,17049,,
,17049,3.549801826477051,9
0.0001,17099,,
,17099,3.77738356590271,9
0.0001,17149,,
,17149,3.545348644256592,9
0.0001,17199,,
,17199,3.633784770965576,9
0.0001,17249,,
,17249,3.47259259223938,9
0.0001,17299,,
,17299,3.5501785278320312,9
0.0001,17349,,
,17349,3.354278087615967,9
0.0001,17399,,
,17399,3.462496519088745,9
0.0001,17449,,
,17449,3.511645793914795,9
0.0001,17499,,
,17499,3.4444031715393066,9
0.0001,17549,,
,17549,3.3191170692443848,9
0.0001,17599,,
,17599,3.6609950065612793,9
0.0001,17649,,
,17649,3.8822226524353027,9
0.0001,17699,,
,17699,3.755683422088623,9
0.0001,17749,,
,17749,3.578991651535034,9
0.0001,17799,,
,17799,3.9160542488098145,9
0.0001,17849,,
,17849,3.619001865386963,9
0.0001,17899,,
,17899,3.5924160480499268,9
0.0001,17949,,
,17949,3.7902817726135254,9
0.0001,17999,,
,17999,3.765134334564209,9
0.0001,18049,,
,18049,3.422010898590088,9
0.0001,18099,,
,18099,3.7721714973449707,9
0.0001,18149,,
,18149,3.970625400543213,9
