lr-Adam,step,train_loss,epoch,val_Class_Accuracy,val_No_Obj_Accuracy,val_Obj_Accuracy,test_Class_Accuracy,test_No_Obj_Accuracy,test_Obj_Accuracy
1.63386334336055e-05,49,,,,,,,,
,49,45.940452575683594,0,,,,,,
2.4847443059733563e-05,99,,,,,,,,
,99,32.63035202026367,0,,,,,,
3.3356252685861625e-05,149,,,,,,,,
,149,27.984893798828125,0,,,,,,
4.186506231198969e-05,199,,,,,,,,
,199,24.78427505493164,0,,,,,,
5.037387193811775e-05,249,,,,,,,,
,249,21.134801864624023,0,,,,,,
5.888268156424581e-05,299,,,,,,,,
,299,21.3646183013916,0,,,,,,
6.739149119037388e-05,349,,,,,,,,
,349,20.202030181884766,0,,,,,,
7.590030081650195e-05,399,,,,,,,,
,399,17.544431686401367,0,,,,,,
8.440911044263e-05,449,,,,,,,,
,449,16.536216735839844,0,,,,,,
9.291792006875807e-05,499,,,,,,,,
,499,15.219266891479492,0,,,,,,
0.00010142672969488613,549,,,,,,,,
,549,16.335636138916016,0,,,,,,
0.0001099355393210142,599,,,,,,,,
,599,14.441123962402344,0,,,,,,
0.00011844434894714225,649,,,,,,,,
,649,15.079748153686523,0,,,,,,
0.0001269531585732703,699,,,,,,,,
,699,13.767480850219727,0,,,,,,
0.0001354619681993984,749,,,,,,,,
,749,14.547061920166016,0,,,,,,
0.00014397077782552645,799,,,,,,,,
,799,13.804753303527832,0,,,,,,
0.0001524795874516545,849,,,,,,,,
,849,14.864994049072266,0,,,,,,
0.00016098839707778256,899,,,,,,,,
,899,14.618289947509766,0,,,,,,
,930,,0,34.1723747253418,90.85334777832031,20.577177047729492,,,
0.00016949720670391064,949,,,,,,,,
,949,14.006278991699219,1,,,,,,
0.0001780060163300387,999,,,,,,,,
,999,18.290462493896484,1,,,,,,
0.00018651482595616675,1049,,,,,,,,
,1049,13.60761833190918,1,,,,,,
0.0001950236355822948,1099,,,,,,,,
,1099,13.133275032043457,1,,,,,,
0.0002035324452084229,1149,,,,,,,,
,1149,13.542442321777344,1,,,,,,
0.00021204125483455095,1199,,,,,,,,
,1199,12.83410930633545,1,,,,,,
0.00022055006446067903,1249,,,,,,,,
,1249,12.431059837341309,1,,,,,,
0.00022905887408680709,1299,,,,,,,,
,1299,12.917573928833008,1,,,,,,
0.00023756768371293512,1349,,,,,,,,
,1349,13.027653694152832,1,,,,,,
0.0002460764933390632,1399,,,,,,,,
,1399,11.854207038879395,1,,,,,,
0.0002545853029651912,1449,,,,,,,,
,1449,12.742271423339844,1,,,,,,
0.00026309411259131926,1499,,,,,,,,
,1499,12.392056465148926,1,,,,,,
0.0002716029222174474,1549,,,,,,,,
,1549,12.11282730102539,1,,,,,,
0.0002801117318435754,1599,,,,,,,,
,1599,12.480634689331055,1,,,,,,
